code,label
A00,Choléra
A00-A09,Maladies intestinales infectieuses
I,Certaines maladies infectieuses et parasitaires
A00.0,"À Vibrio cholerae 01, biovar cholerae"
A00.1,"À Vibrio cholerae 01, biovar El Tor"
A00.9,"Choléra, sans précision"
A01,Fièvres typhoïde et paratyphoïde
A01.0,Fièvre typhoïde
A01.1,Paratyphoïde A
A01.2,Paratyphoïde B
A01.3,Paratyphoïde C
A01.4,"Paratyphoïde, sans précision"
A02,Autres salmonelloses
A02.0,Entérite à Salmonella
A02.1,Sepsis  à Salmonella
A02.2,Infection localisée à Salmonella
G01,Méningite au cours d'affections bactériennes classées ailleurs
J17.0,Pneumopathie au cours de maladies bactériennes classées ailleurs
M01.3,Arthrite au cours d'autres maladies bactériennes classées ailleurs
M90.2,Ostéopathie au cours d'autres maladies infectieuses  classées ailleurs
N16.0,Maladie rénale tubulo-interstitielle au cours de maladies infectieuses et parasitaires classées ailleurs
A02.8,Autres infections précisées à Salmonella
A02.9,"Salmonellose, sans précision"
A03,Shigellose
A03.0,Shigellose à Shigella dysenteriae
A03.1,Shigellose à Shigella flexneri
A03.2,Shigellose à Shigella boydii
A03.3,Shigellose à Shigella sonnei
A03.8,Autres shigelloses
A03.9,"Shigellose, sans précision"
A04,Autres infections intestinales bactériennes
A18.3,"Tuberculose de l''intestin, du péritoine et des ganglions mésentériques"
A04.0,Infection entéropathogène à Escherichia coli
A04.1,Infection entérotoxigène à Escherichia coli
A04.2,Infection entéro-invasive à Escherichia coli
A04.3,Infection entérohémorragique à Escherichia coli
A04.4,Autres infections intestinales à Escherichia coli
A04.5,Entérite à Campylobacter
A04.6,Entérite à Yersinia enterocolitica
A28.2,Yersiniose extra-intestinale
A04.7,Entérocolite à Clostridium difficile
A04.8,Autres infections intestinales bactériennes précisées
A04.9,"Infection intestinale bactérienne, sans précision"
A05,"Autres intoxications bactériennes d''origine alimentaire, non classées ailleurs"
A32,Listériose
A05.0,Intoxication alimentaire à staphylocoques
A05.1,Botulisme
A05.2,Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]
A05.3,Intoxication alimentaire à Vibrio parahaemolyticus
A05.4,Intoxication alimentaire à Bacillus cereus
A05.8,Autres intoxications bactériennes d'origine alimentaire précisées
A05.9,"Intoxication bactérienne d''origine alimentaire, sans précision"
A06,Amibiase
A07,Autres maladies intestinales à protozoaires
A06.0,Dysenterie amibienne aigüe
